time,x,y,z
0.0,-5.385099260288364e-18,2.1167860594698487e-18,-5.9352609229283066e-18
1.0,0.003228259370211931,-0.000782103888650739,0.0034662963233908018
2.0,0.012669607668404506,-0.002986275055616795,0.013578494359684088
3.0,0.02795890017591939,-0.006399302752421653,0.02990655770806856
4.0,0.04873099217410681,-0.01080797623059234,0.052020449967742646
5.0,0.07462073894432533,-0.015999084741659265,0.07949013473791425
6.0,0.10526299576794161,-0.021759417537156066,0.11188557561780042
7.0,0.14029261792633016,-0.027875763868619438,0.14877673620662704
8.0,0.1793444607008731,-0.034134912987589,0.1897335801036286
9.0,0.2220533793729598,-0.040323654145607096,0.23432607090804805
10.0,0.26805422922398703,-0.04622877659421868,0.2821241722191361
11.0,0.3169818655353583,-0.051637069584971114,0.33269784763615123
12.0,0.36847114358848354,-0.05633532236941406,0.3856170607583597
13.0,0.42215691866477967,-0.06011032419909925,0.4404517751850346
14.0,0.4776740460456691,-0.06274886432558044,0.49677195451545586
15.0,0.5346573810125806,-0.06403773200041313,0.5541475623489102
16.0,0.5927417788469487,-0.06376371647515441,0.6121485622846906
17.0,0.6515620948302131,-0.061713607001362907,0.6703449179220963
18.0,0.710753184243819,-0.05767419283059859,0.7283065928604316
19.0,0.7699499023692161,-0.0514322632144226,0.7856035506990071
20.0,0.8287871044878592,-0.04277460740439697,0.841805755037138
21.0,0.886899645881208,-0.03148801465208466,0.8964831694741444
22.0,0.9439223818307257,-0.017359274209049275,0.9492057576093511
23.0,0.9994901676178799,-0.00017517532685495368,0.9995434830420876
24.0,1.0533109467245525,0.020213970138563964,1.04714564423887
25.0,1.1053933044678699,0.04369655581842753,1.091987876612897
26.0,1.155823117143034,0.07009379997744228,1.134129712422056
27.0,1.2046862611410716,0.09922692081367192,1.1736306840288355
28.0,1.25206861285301,0.1309171365251834,1.2105503237957227
29.0,1.298056048669875,0.16498566531004658,1.2449481640852047
30.0,1.3427344449826901,0.20125372536633435,1.2768837372597663
31.0,1.3861896781824785,0.23954253489212263,1.3064165756818913
32.0,1.428507624660263,0.27967331208548973,1.3336062117140632
33.0,1.4697741608070622,0.3214672751445168,1.3585121777187625
34.0,1.5100751630138967,0.3647456422672874,1.3811940060584693
35.0,1.5494965076717835,0.40932963165188757,1.4017112290956621
36.0,1.588124071171739,0.4550404614964056,1.4201233791928167
37.0,1.6260437299047774,0.501699349998932,1.436489988712409
38.0,1.6633413602619125,0.549127515357559,1.4508705900169125
39.0,1.7001028386341561,0.5971461757703815,1.4633247154687978
40.0,1.736414041412517,0.6455765494354954,1.4739118974305343
41.0,1.7723608449880048,0.694239854550999,1.48269166826459
42.0,1.808029125751625,0.7429573093149919,1.4897235603334305
43.0,1.8435047600943835,0.7915501319255754,1.4950671059995189
44.0,1.8788736244072828,0.8398395405808521,1.498781837625316
45.0,1.9142215950813235,0.8876467534789257,1.5009272875732809
46.0,1.9496345485075062,0.9347929888179013,1.5015629882058705
47.0,1.9851983610768271,0.981099464795885,1.500748471885538
48.0,2.020996668222547,1.026396390928908,1.4985406957398393
49.0,2.057077586242565,1.0706564888646446,1.4949557994250762
50.0,2.0934608351145236,1.1139664137720604,1.489977290457751
51.0,2.1301653408131913,1.156416006575019,1.4835877639078368
52.0,2.167210029313339,1.1980951081973858,1.4757698148453064
53.0,2.204613826589738,1.239093559563024,1.466506038340132
54.0,2.2423956586171605,1.2795012015957976,1.4557790294622868
55.0,2.280574451370379,1.3194078752195708,1.4435713832817407
56.0,2.3191691308241693,1.3589034213582079,1.4298656948684663
57.0,2.3581986229533043,1.3980776809355728,1.4146445592924333
58.0,2.39768185373256,1.437020494875529,1.397890571623613
59.0,2.4376377491367127,1.475821704101941,1.3795863269319737
60.0,2.478085235140539,1.5145711495386724,1.3597144202874856
61.0,2.5190432377188174,1.5533586721095867,1.3382574467601174
62.0,2.560530682846326,1.5922741127385474,1.3151980014198372
63.0,2.6025664964978446,1.631407312349418,1.290518679336613
64.0,2.645169604648154,1.670848111866062,1.2642020755804118
65.0,2.688358933272034,1.7106863522123428,1.2362307852212002
66.0,2.7321534083442662,1.7510118743121224,1.206587403328945
67.0,2.7765719558396342,1.7919145190892645,1.1752545249736115
68.0,2.821633501732921,1.8334841274676312,1.142214745225165
69.0,2.8673569719989094,1.8758105403710856,1.1074506591535704
70.0,2.913761292612386,1.9189835987234884,1.070944861828792
71.0,2.960865389548135,1.9630931434487033,1.0326799483207931
72.0,3.008688000391205,2.0082287384358377,0.992638755752512
73.0,3.057195950262712,2.0544036051638983,0.9508708238486573
74.0,3.1062337204545862,2.1014510465399185,0.9075828924563707
75.0,3.1556281782805375,2.1491784623729804,0.863004333719802
76.0,3.205206191054278,2.197393252472174,0.8173645197830973
77.0,3.2547946260895273,2.2459028166465886,0.7708928227903986
78.0,3.3042203507000014,2.2945145547053194,0.7238186148858443
79.0,3.353310232199426,2.3430358664574626,0.6763712682135691
80.0,3.401891137901525,2.3912741517121185,0.628780154917704
81.0,3.4497899351200285,2.4390368102783917,0.5812746471423774
82.0,3.496833491168668,2.4861312419653854,0.5340841170317137
83.0,3.5428486733611777,2.532364846582211,0.48743793672983443
84.0,3.587662349011295,2.5775450239379776,0.4415654783808583
85.0,3.6311013854327574,2.621479173841799,0.3966961141289011
86.0,3.672992649939309,2.663974696102792,0.3530592161180757
87.0,3.713163009844692,2.7048389905300754,0.3108841564924923
88.0,3.7514393324626525,2.7438794569327682,0.27040030739625864
89.0,3.787648485106939,2.780903495119994,0.23183704097348035
90.0,3.821617335091303,2.8157185049008766,0.19542372936826047
91.0,3.8531727497294925,2.8481318860845426,0.16138974472469972
92.0,3.882141596335264,2.877951038480121,0.12996445918689725
93.0,3.90835074222237,2.90498336189674,0.1013772448989499
94.0,3.9316270547045686,2.9290362561435317,0.07585747400495312
95.0,3.951797401095617,2.9499171210296296,0.05363451864900008
96.0,3.9686886487092727,2.967433356364167,0.03493775097518268
97.0,3.982127664859297,2.98139236195628,0.019996543127591925
98.0,3.99194131685945,2.991601537615105,0.009040267250316364
99.0,3.997956472023492,2.9978682831497796,0.0022982954874441928
100.0,3.99999999766519,2.9999999983694425,-1.693781868643051e-11
